filename,clause_text
 064-19 Non Disclosure Agreement 2019.pdf,"c. Notwithstanding the foregoing, if the Discloser is unable to obtain or does not seek a protective order and the Recipient is legally requested or required to disclose such Confidential Information, disclosure of such Confidential Information may be made without liability."
 064-19 Non Disclosure Agreement 2019.pdf,7. Term.
 064-19 Non Disclosure Agreement 2019.pdf,"a. This Agreement shall remain in effect for a two-year term (subject to a one year extension if the parties are still discussing and considering the Transaction at the end of the second year) or the term of the contract, whichever is greater."
 064-19 Non Disclosure Agreement 2019.pdf,"b. Notwithstanding the foregoing, the parties' duty to hold in confidence Confidential Information that was disclosed during term shall remain in effect indefinitely."
 064-19 Non Disclosure Agreement 2019.pdf,8. Remedies.
 064-19 Non Disclosure Agreement 2019.pdf,"a. The Parties acknowledge that the Confidential Information is of a unique and valuable character, and that the unauthorized dissemination of the Confidential Information could cause irreparable harm to the Party and the general public."
 064-19 Non Disclosure Agreement 2019.pdf,"b. Therefore, the Parties shall be entitled to injunctive relief preventing the dissemination of any Confidential Information in violation of the terms hereof."
 064-19 Non Disclosure Agreement 2019.pdf,"Such injunctive relief shall be in addition to any other remedies available hereunder, whether at law or in equity."
 064-19 Non Disclosure Agreement 2019.pdf,"c. The Discloser shall be entitled to recover its costs and fees, including reasonable attorneys' fees, incurred in obtaining any such relief."
 064-19 Non Disclosure Agreement 2019.pdf,"The Recipient further acknowledges that the unauthorized disclosure of certain information pertaining to ""Critical Assets"" or ""Critical Infrastructure"" may constitute a violation of state and federal law."
 064-19 Non Disclosure Agreement 2019.pdf,9. Return of JEA Confidential Information.
 064-19 Non Disclosure Agreement 2019.pdf,"The Recipient shall immediately return and redeliver to the other all tangible material embodying the JEA Confidential Information provided hereunder and all notes, summaries, memoranda, drawings, manuals, records, excerpts or derivative information deriving there from and all other documents or materials (""Notes"") (and all copies of any of the foregoing, including ""copies"" that have been converted to computerized media in the form of image, data or word processing files either manually or by image capture) based on or including any JEA Confidential Information, in whatever form of storage or retrieval, upon the earlier of -"
 064-19 Non Disclosure Agreement 2019.pdf,I. the completion or termination of the dealings between the parties contemplated hereunder; or
 064-19 Non Disclosure Agreement 2019.pdf,II. the termination of this Agreement; or
 064-19 Non Disclosure Agreement 2019.pdf,III. at such time as JEA may so request; provided however that the Recipient may retain such of its documents as is necessary to enable it to comply with its statutory document retention policies.
 064-19 Non Disclosure Agreement 2019.pdf,"Alternatively, the Recipient, with the written consent of JEA may (or in the case of Notes, at the Recipient's option) immediately destroy any of the foregoing embodying JEA Confidential Information (or the reasonably non-recoverable data erasure of computerized data) and, upon request, certify in writing such destruction by an authorized officer of the Recipient supervising the destruction)."
 064-19 Non Disclosure Agreement 2019.pdf,JEA reserves the right to require evidence supporting such an activity.
 064-19 Non Disclosure Agreement 2019.pdf,10. Notice of Breach.
 064-19 Non Disclosure Agreement 2019.pdf,The Recipient shall notify the Discloser immediately upon discovery that any Confidential Information has been communicated or distributed to any unauthorized person or entity and will cooperate with efforts by the Discloser to help the Discloser regain possession of Confidential Information and prevent its further unauthorized use.
 064-19 Non Disclosure Agreement 2019.pdf,11. No Warranty.
 064-19 Non Disclosure Agreement 2019.pdf,The Discloser shall have no liability to the Recipient or the Representatives resulting from any use of the Confidential Information.
 064-19 Non Disclosure Agreement 2019.pdf,The Discloser shall have sole responsibility for providing the Confidential Information necessary for Recipient to perform its obligations under the parties' Agreements.
 064-19 Non Disclosure Agreement 2019.pdf,12. Miscellaneous.
 064-19 Non Disclosure Agreement 2019.pdf,a. This Agreement:
 064-19 Non Disclosure Agreement 2019.pdf,i. is the complete agreement of the parties concerning the subject matter hereof and supersedes any prior such agreements with respect to further disclosures on such subject matter;
 064-19 Non Disclosure Agreement 2019.pdf,ii. may not be amended or in any manner modified except in writing signed by the parties;
 064-19 Non Disclosure Agreement 2019.pdf,iii. shall be governed and construed in accordance with the laws of the State of Florida without regard to its conflict of law provisions; and
 064-19 Non Disclosure Agreement 2019.pdf,"iv. shall be binding upon and inure to the benefit of the parties and their respective successors, assigns and designees."
 064-19 Non Disclosure Agreement 2019.pdf,"b. The Federal and state courts located in Duval County, Florida shall have sole and exclusive jurisdiction over any disputes arising under this Agreement."
 064-19 Non Disclosure Agreement 2019.pdf,"If any provision of this Agreement is found to be unenforceable, the remainder shall be enforced as fully as possible and the unenforceable provision shall be deemed modified to the limited extent required to permit its enforcement in a manner most closely representing the intention of the parties as expressed herein."
 064-19 Non Disclosure Agreement 2019.pdf,Any failure by the Discloser to enforce the strict performance of any provision of this Agreement will not constitute a waiver of its right to subsequently enforce such provision or any other provision of this Agreement.
 064-19 Non Disclosure Agreement 2019.pdf,"c. Any notices required or permitted to be given hereunder may be delivered by hand, deposited with a nationally recognized overnight carrier, electronic-mail, or mailed by certified mail, return receipt requested, postage prepaid, in each case, to the address of the other party first indicated above."
 064-19 Non Disclosure Agreement 2019.pdf,All such notices or communications shall be deemed to have been given and received
 064-19 Non Disclosure Agreement 2019.pdf,"(a) in the case of personal delivery or electronic-mail, on the date of such delivery,"
 064-19 Non Disclosure Agreement 2019.pdf,"(b) in the case of delivery by a nationally recognized overnight carrier, on the third business day following dispatch and"
 064-19 Non Disclosure Agreement 2019.pdf,"(c) in the case of mailing, on the seventh business day following such mailing."
 064-19 Non Disclosure Agreement 2019.pdf,"IN WITNESS WHEREOF, the Parties hereto have executed this Agreement as of the date first above written."
 064-19 Non Disclosure Agreement 2019.pdf,JEA
 064-19 Non Disclosure Agreement 2019.pdf,Recipient
 064-19 Non Disclosure Agreement 2019.pdf,By
 064-19 Non Disclosure Agreement 2019.pdf,__________________________
 064-19 Non Disclosure Agreement 2019.pdf,By
 064-19 Non Disclosure Agreement 2019.pdf,__________________________
 064-19 Non Disclosure Agreement 2019.pdf,Name: Name:
 064-19 Non Disclosure Agreement 2019.pdf,Title: Title:
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,MUTUAL NON-DISCLOSURE AGREEMENT
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,Between
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,AND
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,Subject Matter:
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"Effective Date of Agreement: Period , 2017"
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"for Exchange of Information: , 2017 to"
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,Period of Confidentiality:
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"THIS AGREEMENT is made as of the Effective Date of Agreement noted above, by and between the above parties."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,BACKGROUND:
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,I. The parties desire to have discussions of or relating to the Subject Matter for the purposes of evaluating a possible business relationship between them (“Purpose”).
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,The parties may extend the Subject Matter or add additional parties by executing one or more addenda to this Agreement.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"II. Such discussions may involve disclosure by one party to the other party of confidential, proprietary or trade secret information of its own or its licensors (“Confidential Information” as defined below), during the Period for Exchange of Information."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"III. Both parties recognize the value of the Confidential Information and that it is in their mutual best interests to maintain the confidential, proprietary and secret nature of the Confidential Information."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"THEREFORE, in consideration of the Subject Matter, and the mutual promises herein, the parties agree as follows:"
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,1. CONFIDENTIAL INFORMATION.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"The term “Confidential Information” as used herein means all nonpublic information relating to the Subject Matter that is disclosed by either party, its Affiliates (as defined below), or their agents (where applicable, collectively referred to as the “Disclosing Party”), directly or indirectly, in writing, orally or by inspection of premises or tangible objects to the other party (the “Recipient”) that is:"
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"(i) marked confidential or proprietary, or"
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"(ii) given the nature of the information or the circumstances surrounding its disclosure, reasonably should be deemed confidential."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"Confidential Information includes, but is not limited to documents, drawings, models, apparatus, sketches, designs, schedules, product plans, marketing plans, technical procedures, manufacturing processes, software, prototypes, samples, methodologies, formulations, trade secrets, patent applications, know-how, experimental results, specifications and other business information."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,2. PERIOD OF CONFIDENTIALITY AND NON-USE.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,The Recipient will use Confidential Information only in connection with the Purpose as set forth in this Agreement.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"Recipient shall use the same degree of care to avoid disclosure or use of the Confidential Information as it uses for its own confidential, proprietary and trade secret information, but in no case use less than a reasonable degree of care."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,Recipient agrees to limit disclosure of Confidential Information to employees and employees of Affiliates having a specific need to know such Confidential Information for the Purpose and in the case of Affiliates only to the extent that such Affiliate is under obligation to hold such information in confidence and is made aware of these terms and conditions.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"Recipient will not disclose or permit access to Confidential Information to contract workers, consultants or contractors of Recipient or its Affiliates unless authorized by Disclosing Party in writing and on condition that such persons are bound by obligations of confidentiality inuring to the benefit of Disclosing Party and its Affiliates at least as restrictive as these terms and conditions."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"Recipient shall not without Disclosing Party’s prior written consent reverse engineer, disassemble or decompile any prototypes, software or other objects which embody the Disclosing Party’s Confidential Information to obtain access to Disclosing Party’s trade secrets and to the extent such consent is granted Recipient shall receive and hold such Confidential Information subject to the terms of this Agreement."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,3. TERM.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,The term of this Agreement shall be for the Period of Exchange set forth above.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"Confidentiality obligations shall survive termination of this Agreement for the Period of Confidentiality set forth above unless the Confidential Information is a trade secret, in which case the confidentiality obligations shall continue for as long as the information is a trade secret."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,Either party may terminate this Agreement upon 30 days prior written notice.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,4. NOTICE OF UNAUTHORIZED USE.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,Recipient shall provide written notice to Disclosing Party without undue delay of any misuse or misappropriation of Confidential Information which may come to the attention of Recipient.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,The Recipient shall cooperate with and aid the Disclosing Party in mitigating and preventing the unauthorized use and disclosure and any furtherance thereof.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,5. EXCLUSIONS AND EXEMPTIONS.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,Recipient shall have no obligation of confidentiality with respect to any information which:
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"5.1. is already known or in the possession of Recipient or its Affiliate at the time of disclosure as shown by the Recipient’s and/or its Affiliates´ files and records prior to the time of disclosure, otherwise than as a result of any improper act or omission of Recipient or its Affiliate; or"
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,5.2. is or becomes public knowledge through no wrongful act of Recipient; or
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,5.3. is rightfully acquired from others who did not obtain it under obligation of confidentiality; or
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"5.4. is independently developed by an employee, agent or consultant of Recipient without reference to the Confidential Information; or"
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,5.5. is approved for release by written authorization from Disclosing Party.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"5.6. The Recipient is hereby notified that, as set forth in 18 U.S.C. §1833(b), he/she does not have criminal or civil liability under U.S. trade secret law for the following disclosures of a trade secret:"
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"5.6.1. disclosure in confidence to a federal, state or local government official, either directly or indirectly, or to an attorney, provided the disclosure is for the sole purpose of reporting or investigating a suspected violation of law; and/or"
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,5.6.2. disclosure in a complaint or other document filed in a lawsuit or other proceeding if such filing is made under seal; and/or
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"5.6.3. under those circumstances where Recipient files a lawsuit for retaliation against the Disclosing Party for reporting a suspected violation of law, Recipient may disclose the Disclosing Party’s trade secret information to its attorney and may use the trade secret information in the court proceeding if Recipient files any document containing the trade secret under seal and does not disclose the trade secret, except pursuant to court order."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,6. REPRODUCTION AND RETURN OF CONFIDENTIAL INFORMATION.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"The Confidential Information provided by the Disclosing Party shall not be copied or reproduced without the Disclosing Party’s prior written permission, except for such copies as may reasonably be required for the purpose as set forth in Section I of this Agreement."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"Disclosing Party may serve written request on Recipient for return or destruction of its Confidential Information at any time up to six (6) months after the termination or expiry of this Agreement and Recipient shall, within thirty (30) days of such request or termination, return to the Disclosing Party (or its designees) or certify as destroyed all Confidential Information, in whatever form, including written or electronically recorded information and all copies thereof (other than copies retained in automatic back-up and archive systems), provided however that Recipient shall be entitled to retain one copy of the Confidential Information with its legal counsel or other appropriate corporate representative to evidence the exchange of information hereunder and in connection with legal or statutory requirements."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,All such retained copies shall remain subject to the use and disclosure restrictions in this Agreement.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,7. DISCLOSURES REQUIRED BY LAW.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"If Recipient is requested, ordered or required by a regulatory agency or any other government authority or a court to disclose any Confidential Information, Recipient shall promptly notify Disclosing Party of such request, order or requirement so that Disclosing Party may have the opportunity to contest the disclosure, including seeking a protective order, or waive Recipient’s compliance with this Agreement."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"If Recipient is (in the opinion of its counsel) compelled to disclose any Confidential Information, or else be liable for contempt or other penalty or be subject to claims from a third party, Recipient may disclose such Confidential Information without liability under this Agreement."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,8. EXPORT LAWS.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"Neither party shall export, directly or indirectly, any of the Confidential Information to any country, person or entity which the US Government, at the time of export, requires an export license or other governmental approval without first obtaining such license or approval."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,The Recipient shall first obtain the written consent of Disclosing Party prior to submitting any request for authority to export such Confidential Information.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"For the purposes of this Agreement, export occurs when Confidential Information is transferred from one country to another by any means, including but not limited to physical shipments, FTP file transfers, e-mails, faxes, oral transfers or remote server access and an export may also occur when Confidential Information is transferred to or accessed by a person who is neither a citizen nor permanent resident of the country in which such transfer or access is taking place."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,9. OWNERSHIP OF CONFIDENTIAL INFORMATION.
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,"Disclosing Party or its licensors, as the case may be, retain all rights in Confidential Information disclosed and all documents, prototypes, software development kits (SDKs) and other similar tangible property embodying, containing or reflecting the same shall remain the property of Disclosing Party."
01_Bosch-Automotive-Service-Solutions-Mutual-Non-Disclosure-Agreement-7-12-17.pdf,10. NO LICENSE.
